Countries,Country Total  In Year 2000,Country Total In Year 2010,Urban Area of Each Country  in Year 2000,Urban Area of Each Country in Year 2010
Afghanistan,22,50,36,78
Albania,98,95,100,96
Algeria,89,83,93,85
Andorra,100,100,100,100
Angola,46,51,52,60
Armenia,92,98,98,99
Aruba,100,100,100,100
Australia,100,100,100,100
Austria,100,100,100,100
Azerbaijan,74,80,88,88
Bangladesh,79,81,86,85
Barbados,100,100,100,100
Belarus,100,100,100,100
Belgium,100,100,100,100
Belize,86,98,93,98
Benin,66,75,78,84
Bhutan,86,96,99,100
Bolivia,80,88,94,96
Bosnia and Herzegovina,97,99,99,100
Botswana,95,96,99,99
Brazil,94,98,98,100
British Virgin Islands,98,98,98,98
Bulgaria,100,100,100,100
Burkina Faso,60,79,85,95
Burundi,72,72,89,83
Cambodia,44,64,63,87
Cameroon,64,77,86,95
Canada,100,100,100,100
Cape Verde,83,88,84,90
Cayman Islands,93,96,93,96
Central African Republic,63,67,85,92
Chad,45,51,60,70
Chile,94,96,99,99
China,80,91,98,98
Colombia,91,92,99,99
Comoros,92,95,93,91
"Congo, Dem. Rep.",44,45,85,79
"Congo, Rep.",70,71,95,95
Cook Is,95,,99,98
Costa Rica,95,97,99,100
Cote d'Ivoire,77,80,91,91
Croatia,99,99,100,100
Cuba,90,94,95,96
Cyprus,100,100,100,100
Czech Republic,100,100,100,100
Denmark,100,100,100,100
Djibouti,82,88,88,99
Dominican Republic,87,86,92,87
Ecuador,86,94,90,96
Egypt,96,99,98,100
El Salvador,82,88,92,94
Estonia,98,98,99,99
Ethiopia,29,44,87,97
Fiji,93,98,98,100
Finland,100,100,100,100
France,100,100,100,100
French Polynesia,100,100,100,100
Gabon,85,87,95,95
Gambia,83,89,90,92
Georgia,89,98,97,100
Germany,100,100,100,100
Ghana,71,86,87,91
Greece,99,100,100,100
Greenland,100,100,100,100
Guam,100,100,100,100
Guatemala,87,92,95,98
Guinea,63,74,88,90
Guinea-Bissau,50,64,68,91
Guyana,89,94,94,98
Haiti,62,69,84,85
Honduras,82,87,95,95
Hungary,99,100,100,100
Iceland,100,100,100,100
India,81,92,93,97
Indonesia,78,82,91,92
Iran,93,96,98,97
Iraq,80,79,95,91
Ireland,100,100,100,100
Israel,100,100,100,100
Italy,100,100,100,100
Jamaica,93,93,98,98
Japan,100,100,100,100
Jordan,96,97,98,98
Kazakhstan,96,95,99,99
Kenya,52,59,87,82
Kiribati,62,,77,
North Korea,100,98,100,99
South Korea,93,98,98,100
Kuwait,99,99,99,99
Kyrgyz Republic,82,90,98,99
Lao,45,67,75,77
Latvia,99,99,100,100
Lebanon,100,100,100,100
Lesotho,80,78,94,91
Liberia,61,73,74,88
Luxembourg,100,100,100,100
"Macedonia, FYR",100,100,100,100
Madagascar,38,46,75,74
Malawi,62,83,93,95
Malaysia,97,100,99,100
Maldives,95,98,100,100
Mali,46,64,70,87
Malta,100,100,100,100
Marshall Islands,95,94,93,92
Mauritania,40,50,45,52
Mauritius,99,99,100,100
Mexico,90,96,95,97
Moldova,93,96,99,99
Monaco,100,100,100,100
Mongolia,65,82,86,100
Montenegro,98,98,99,99
Montserrat,100,100,100,100
Morocco,78,83,96,98
Mozambique,42,47,75,77
Myanmar,67,83,85,93
Namibia,81,93,99,99
Nauru,98,88,98,88
Nepal,83,89,94,93
Netherlands,100,100,100,100
New Zealand,100,100,100,100
Nicaragua,80,85,95,98
Niger,42,49,78,100
Nigeria,53,58,77,74
Niue,100,100,100,100
Northern Mariana Islands,98,98,98,98
Norway,100,100,100,100
Oman,83,89,87,93
Pakistan,89,92,96,96
Palau,83,85,78,83
Papua New Guinea,39,40,88,87
Paraguay,74,86,92,99
Peru,81,85,90,91
Philippines,89,92,93,93
Portugal,99,99,99,99
Qatar,100,100,100,100
Russia,95,97,98,99
Rwanda,66,65,86,76
St. Kitts and Nevis,99,99,99,99
St. Lucia,95,96,97,98
Samoa,92,96,96,96
Sao Tome and Principe,79,89,86,89
Senegal,66,99,90,93
Sierra Leone,46,100,75,87
Singapore,100,100,100,100
Slovak Republic,100,99,100,100
Spain,100,91,100,100
Sri Lanka,80,58,95,99
Sudan,62,92,76,67
Swaziland,52,100,88,91
Sweden,100,100,100,100
Switzerland,100,90,100,100
Tajikistan,61,53,93,92
Tanzania,54,96,86,79
Thailand,92,69,97,97
Timor-Leste,54,61,69,91
Togo,55,97,84,89
Tunisia,90,100,98,99
Turkmenistan,83,100,97,97
Turks and Caicos Islands,100,98,100,100
Tuvalu,94,72,95,98
Uganda,58,98,86,95
Ukraine,97,100,99,98
United Arab Emirates,100,100,100,100
United Kingdom,100,99,100,100
United States,99,100,100,100
